LAT	LON	START
33.40	-118.42	2004/04/01
36.44	-118.08	2004/04/01
34.64	-115.38	2004/04/01
34.25	-118.33	2004/04/01
33.57	-116.63	2004/04/01
32.66	-116.10	2004/04/01
34.88	-117.99	2004/04/01
34.88	-117.99	2004/06/14
33.71	-118.29	2004/04/01
36.47	-116.86	2004/04/01
33.05	-114.83	2004/04/01
34.78	-115.66	2006/05/03
33.15	-117.23	2004/04/01
37.00	-117.37	2004/04/01
35.30	-116.81	2004/04/01
34.83	-116.33	2004/04/01
32.66	-116.09	2010/04/12
32.65	-116.11	2011/05/06
34.16	-115.15	2004/04/01
35.66	-118.47	2004/04/01
34.11	-119.07	2004/04/01
35.48	-117.68	2004/04/01
37.63	-118.84	2005/10/14
34.81	-119.15	2004/04/01
36.06	-117.49	2004/04/01
34.89	-119.81	2004/04/01
33.60	-117.20	2005/10/12
34.82	-114.60	2004/04/01
34.77	-114.62	2006/08/01
34.61	-118.72	2004/04/01
34.30	-114.14	2004/04/01
36.31	-119.24	2004/04/01
34.88	-117.00	2004/04/01
34.44	-119.71	2004/04/01
32.98	-118.55	2004/04/01
34.00	-119.64	2004/06/24
34.57	-120.50	2004/04/01
32.74	-116.94	2004/04/01
35.90	-116.28	2004/04/01
35.31	-120.00	2004/04/01
33.25	-119.52	2004/04/01
32.95	-115.80	2004/04/01
37.05	-118.23	2004/04/01
35.44	-115.92	2004/04/01
35.84	-119.08	2004/04/01
36.32	-119.38	2013/01/18
35.06	-119.03	2004/04/01
62.41	-140.86	2015/09/01
64.06	-139.39	2015/09/01
58.44	-130.03	2016/05/27
60.83	-137.50	2015/09/01
68.31	-133.53	2015/04/21
59.45	-136.37	2016/05/19
60.66	-134.88	2015/04/21
61.78	-140.46	2015/09/01
61.43	-138.55	2015/09/01
60.94	-138.36	2015/09/01
61.28	-139.76	2016/05/27
57.78	-152.58	2015/02/19
34.95	-106.46	2008/08/12
38.06	-91.24	2011/12/07
64.87	-147.86	2015/02/19
28.11	-81.43	2012/02/03
42.51	-71.56	2012/02/03
44.12	-104.04	2008/08/12
40.64	-77.89	2012/02/03
32.31	-110.78	2007/04/26
38.23	-86.29	2011/12/07
36.13	-87.83	2011/12/07
41.01	-73.91	2012/02/03
39.87	-120.36	2005/12/25
37.61	-119.00	2005/09/12
39.31	-119.76	2006/02/26
62.23	-133.35	2015/09/01
60.24	-123.48	2016/08/15
63.60	-135.89	2015/09/01
62.62	-131.26	2015/09/01
61.53	-128.27	2015/09/01
63.23	-123.46	2015/09/01
60.11	-128.80	2015/09/01
43.61	-80.06	2012/01/09
45.63	-74.88	2012/01/09
45.95	-78.05	2012/08/08
45.02	-77.93	2012/01/09
44.01	-81.66	2012/01/17
47.40	-78.69	2012/05/15
44.60	-81.22	2012/01/17
44.24	-81.44	2012/01/09
45.44	-79.40	2012/01/22
44.12	-81.14	2012/01/17
49.91	-74.37	2012/05/15
44.45	-80.30	2012/05/01
44.52	-77.62	2012/01/18
43.88	-78.70	2012/08/03
43.87	-78.73	2012/01/21
43.19	-81.32	2012/01/17
45.36	-80.21	2012/01/21
47.38	-72.78	2012/05/15
49.06	-76.98	2012/05/15
49.76	-77.64	2012/05/15
43.16	-78.45	2012/01/21
45.46	-75.54	2012/05/15
45.45	-75.51	2012/05/15
43.93	-76.99	2012/01/17
45.68	-77.25	2012/02/09
43.96	-79.07	2012/01/18
41.75	-82.63	2012/01/17
45.04	-77.08	2012/01/21
43.21	-79.17	2012/01/17
45.23	-81.52	2012/01/17
43.61	-79.34	2012/01/17
43.09	-79.87	2012/01/17
43.92	-78.40	2012/01/18
27.06	-98.68	2010/01/08
26.94	-98.10	2010/01/12
26.46	-98.07	2010/01/09
27.06	-81.80	2012/03/11
26.97	-81.14	2012/03/12
26.34	-81.44	2012/03/13
27.04	-80.36	2012/03/15
26.41	-80.56	2012/05/13
25.87	-80.91	2012/05/14
24.73	-81.05	2012/05/15
32.89	-117.11	2004/05/10
32.54	-114.58	2007/05/06
32.77	-113.77	2007/05/08
32.75	-112.88	2008/02/05
32.70	-112.23	2006/03/22
32.56	-111.70	2006/03/20
32.57	-110.74	2007/04/07
32.64	-109.97	2007/04/06
32.77	-109.30	2007/03/12
32.55	-108.63	2008/02/03
32.53	-107.79	2008/02/13
32.70	-107.00	2008/02/01
32.63	-106.26	2008/05/14
32.70	-105.45	2008/02/27
32.66	-104.66	2008/03/13
32.65	-104.02	2008/03/15
32.68	-103.36	2008/03/17
32.62	-102.48	2009/02/06
32.63	-101.87	2009/01/31
32.60	-100.97	2009/03/12
32.67	-100.39	2009/03/14
32.61	-98.92	2009/11/12
32.57	-98.08	2009/11/16
32.56	-97.41	2009/11/13
32.47	-96.53	2010/06/06
32.60	-95.76	2010/02/24
32.66	-95.09	2010/02/22
32.68	-94.39	2010/04/30
32.64	-93.57	2011/02/12
32.60	-92.90	2011/02/14
32.55	-91.95	2011/02/22
32.70	-91.40	2011/02/18
32.63	-90.42	2011/03/22
32.60	-89.93	2011/03/25
32.64	-89.06	2011/03/23
32.67	-88.27	2011/04/10
32.65	-87.57	2012/01/16
32.60	-86.79	2012/01/17
32.61	-86.02	2012/01/18
32.53	-85.33	2012/01/19
32.67	-84.72	2012/04/03
32.65	-83.83	2012/03/19
32.61	-83.11	2012/03/20
32.62	-82.47	2012/03/21
32.65	-81.50	2012/04/05
32.68	-81.00	2013/02/25
32.74	-80.19	2013/02/24
31.96	-112.81	2007/05/07
32.00	-111.46	2007/03/02
31.77	-110.82	2007/03/04
31.97	-110.05	2007/03/05
32.00	-109.26	2007/03/10
31.90	-108.53	2008/02/15
32.01	-107.78	2008/02/11
32.10	-107.10	2008/02/14
32.01	-106.43	2008/03/28
32.08	-105.52	2008/02/28
32.11	-104.82	2008/03/27
32.06	-104.10	2008/03/22
32.08	-104.17	2009/02/21
32.01	-103.29	2008/03/21
32.12	-102.59	2009/02/10
31.97	-101.81	2009/02/09
31.89	-101.11	2009/03/03
31.94	-100.32	2009/03/01
31.89	-99.65	2009/03/07
32.02	-98.90	2009/11/18
32.00	-98.14	2009/11/17
32.00	-96.53	2010/04/25
32.00	-95.81	2010/02/20
32.00	-95.12	2010/02/22
32.02	-94.47	2010/02/21
32.04	-93.76	2011/02/11
32.02	-92.92	2011/02/10
32.06	-92.15	2011/02/21
31.88	-91.48	2011/02/19
32.04	-90.69	2011/03/19
32.03	-89.90	2011/03/20
32.01	-89.13	2011/03/26
32.05	-88.61	2011/04/09
32.09	-87.74	2011/04/08
31.98	-87.12	2012/01/21
31.98	-86.27	2012/01/22
32.09	-85.41	2012/01/24
32.00	-84.74	2012/03/11
32.06	-84.13	2012/03/10
31.95	-83.29	2012/03/14
31.93	-82.48	2012/04/04
31.98	-81.89	2012/03/16
31.97	-81.03	2012/03/16
31.44	-109.99	2007/03/07
31.38	-109.28	2007/03/06
31.34	-108.53	2008/02/16
31.44	-105.48	2008/02/23
31.37	-104.97	2008/02/25
31.32	-103.98	2008/03/19
31.37	-103.49	2008/03/20
31.38	-102.81	2008/04/22
31.49	-101.98	2009/02/08
31.41	-101.18	2009/03/05
31.31	-100.43	2009/03/05
31.38	-99.74	2009/03/06
31.32	-98.98	2009/11/13
31.33	-98.24	2009/11/14
31.28	-97.43	2009/11/15
31.39	-96.84	2010/02/17
31.32	-95.89	2010/02/16
31.36	-95.31	2010/02/18
31.33	-94.56	2010/02/19
31.42	-93.89	2010/02/19
31.33	-93.17	2011/03/08
31.37	-92.32	2011/02/23
31.28	-91.62	2011/02/24
31.45	-90.73	2011/03/16
31.31	-90.03	2011/03/17
31.39	-89.46	2011/03/18
31.40	-88.54	2011/03/19
31.41	-87.90	2011/03/20
31.35	-87.19	2012/01/20
31.42	-86.34	2012/01/21
31.28	-85.60	2012/02/02
31.48	-84.93	2012/03/07
31.35	-84.22	2012/03/09
31.34	-82.85	2012/03/14
31.32	-82.13	2012/03/15
31.42	-81.49	2012/03/15
30.79	-104.99	2008/03/15
30.67	-104.03	2008/03/12
30.85	-103.40	2008/03/16
30.73	-102.68	2008/03/10
30.62	-101.89	2009/02/13
30.79	-101.24	2009/02/14
30.68	-100.61	2009/02/14
30.88	-99.79	2009/02/17
30.75	-99.09	2009/11/10
30.81	-98.27	2009/11/08
30.78	-97.58	2010/01/15
30.77	-96.80	2010/01/27
30.83	-96.14	2010/02/18
30.75	-95.47	2010/02/17
30.79	-94.77	2010/04/12
30.75	-93.96	2010/05/22
30.75	-93.19	2011/02/11
30.71	-92.43	2011/02/12
30.76	-91.78	2011/02/13
30.72	-90.75	2011/03/10
30.73	-90.34	2011/03/10
30.79	-89.36	2011/03/15
30.80	-88.65	2011/03/18
30.93	-87.86	2011/04/07
30.76	-87.22	2012/01/18
30.80	-86.59	2012/01/19
30.62	-85.75	2012/02/03
30.85	-85.18	2012/02/04
30.85	-84.32	2012/02/08
30.71	-83.63	2012/02/12
30.74	-83.03	2012/02/11
30.72	-82.02	2012/02/04
30.62	-81.56	2012/02/03
30.06	-104.09	2008/03/05
30.15	-103.61	2008/03/06
30.16	-102.79	2008/03/18
30.12	-102.22	2009/02/12
30.15	-101.34	2009/02/24
30.16	-100.55	2009/02/15
30.13	-99.90	2009/02/19
30.07	-99.04	2009/11/07
30.03	-98.48	2009/11/06
30.03	-97.57	2009/12/16
30.08	-97.07	2010/01/14
30.08	-96.32	2010/01/31
30.22	-95.49	2010/01/28
30.11	-94.72	2010/04/13
30.21	-93.98	2010/05/23
30.06	-93.19	2011/02/26
30.12	-92.55	2011/02/15
30.09	-91.86	2011/02/25
30.11	-91.16	2011/02/24
30.04	-90.49	2011/03/11
30.23	-89.72	2011/03/16
30.13	-85.29	2012/02/06
30.19	-84.43	2012/02/07
30.08	-83.68	2012/02/13
30.12	-82.97	2012/02/14
30.00	-82.41	2012/02/06
30.02	-81.73	2012/02/05
29.55	-104.13	2008/03/11
29.45	-103.39	2008/03/08
29.49	-102.89	2008/03/05
29.41	-100.58	2009/02/19
29.51	-99.79	2009/02/24
29.46	-99.18	2009/12/05
29.38	-98.35	2009/12/06
29.39	-97.77	2009/12/17
29.48	-97.06	2010/01/26
29.44	-96.33	2010/05/24
29.42	-95.45	2011/02/17
29.46	-90.60	2011/03/12
29.58	-89.82	2011/03/17
29.51	-83.26	2012/02/15
29.37	-82.53	2012/02/16
29.59	-81.87	2012/02/08
29.42	-81.26	2012/02/07
28.73	-99.97	2009/02/16
28.72	-99.29	2009/12/03
28.85	-98.56	2009/12/02
28.86	-97.81	2009/12/18
28.95	-97.07	2010/04/18
28.76	-96.44	2010/05/25
28.84	-95.65	2010/02/16
28.94	-82.07	2012/02/12
28.96	-81.20	2012/02/13
28.28	-99.97	2009/12/07
28.32	-99.39	2009/12/07
28.13	-98.55	2009/12/21
28.29	-97.83	2009/12/21
28.27	-82.23	2012/02/17
28.21	-81.36	2012/02/14
28.06	-80.90	2012/02/15
27.61	-99.27	2010/01/07
27.60	-98.52	2009/12/20
27.42	-97.31	2010/01/13
27.67	-82.24	2012/03/09
27.59	-81.75	2012/03/07
27.52	-80.88	2012/03/08
48.72	-122.71	2004/09/19
49.00	-122.09	2005/11/25
49.10	-121.48	2006/10/18
49.05	-120.38	2006/10/14
48.95	-119.27	2006/09/16
48.98	-118.59	2006/09/13
48.98	-117.56	2006/08/31
48.96	-116.36	2006/10/10
48.93	-115.65	2006/09/27
48.93	-114.41	2006/09/28
48.97	-113.42	2007/09/03
48.98	-112.73	2007/09/13
48.95	-111.60	2007/09/16
48.94	-110.70	2007/11/17
48.92	-109.85	2007/11/26
48.93	-108.74	2008/08/27
70.20	-161.07	2017/09/27
48.88	-107.93	2008/09/11
48.99	-106.93	2008/09/17
71.32	-156.62	2014/06/22
48.99	-105.92	2008/09/16
71.00	-154.97	2017/08/19
48.96	-104.88	2008/09/10
48.92	-104.00	2008/09/12
48.94	-103.11	2009/07/24
48.90	-102.04	2009/07/23
48.95	-101.24	2009/08/06
48.91	-100.27	2009/08/11
48.92	-99.23	2009/08/20
48.94	-98.30	2009/08/19
48.93	-97.19	2010/08/25
48.92	-96.49	2010/10/23
48.94	-95.39	2010/09/28
71.99	-125.25	2013/09/02
32.62	-99.64	2009/02/13
48.06	-123.50	2005/10/21
48.26	-122.10	2005/11/25
48.52	-121.48	2006/09/17
48.46	-120.12	2006/09/15
48.36	-119.33	2006/11/07
48.42	-118.15	2006/09/01
48.30	-117.23	2006/08/30
48.44	-116.37	2006/10/05
48.47	-115.59	2006/09/23
48.37	-114.47	2006/09/25
48.36	-113.27	2007/09/14
48.31	-112.56	2007/09/11
48.41	-111.71	2007/09/26
48.29	-110.80	2007/11/15
48.39	-109.78	2007/11/14
69.36	-161.80	2017/09/29
48.46	-108.94	2008/09/03
48.44	-108.02	2008/09/12
70.01	-157.16	2017/08/11
48.43	-107.02	2008/09/05
69.62	-154.61	2017/08/14
48.30	-106.00	2008/09/14
70.34	-153.42	2017/08/11
48.46	-104.99	2008/09/17
48.27	-103.16	2009/07/28
48.38	-102.23	2009/07/29
48.40	-101.26	2009/08/05
48.45	-100.36	2009/08/10
48.46	-99.35	2009/08/21
48.45	-98.33	2009/08/18
48.42	-97.65	2010/08/12
48.40	-96.54	2010/08/14
48.27	-95.59	2010/10/22
48.49	-94.65	2010/09/14
48.36	-93.73	2010/10/19
41.41	-98.15	2008/10/18
37.13	-122.17	2005/04/20
44.44	-98.96	2008/10/05
47.95	-124.57	2005/10/20
47.72	-122.97	2005/10/22
47.69	-121.69	2006/03/24
47.92	-120.89	2006/09/13
47.69	-120.06	2006/09/19
47.78	-119.05	2006/09/21
47.80	-118.27	2006/09/19
47.82	-117.31	2006/09/07
47.84	-116.26	2007/08/28
47.70	-115.48	2006/09/22
47.71	-115.47	2007/08/27
47.68	-114.57	2006/09/21
47.77	-113.75	2006/10/03
47.77	-112.61	2007/09/09
47.80	-111.75	2007/09/02
68.27	-165.34	2017/08/27
47.63	-110.76	2007/09/01
68.48	-163.18	2017/08/27
68.65	-161.19	2017/08/29
47.73	-109.05	2008/08/22
69.10	-159.59	2017/08/30
47.71	-108.00	2008/08/24
47.83	-107.10	2008/09/04
69.16	-154.78	2017/08/17
47.75	-105.88	2008/09/07
47.80	-105.18	2008/09/09
69.84	-150.61	2016/06/21
47.53	-104.43	2008/09/18
69.72	-148.70	2016/06/18
47.71	-103.26	2009/07/25
47.83	-102.10	2009/07/26
69.92	-144.91	2016/06/24
47.71	-101.50	2009/07/22
69.63	-143.71	2016/06/23
47.72	-100.39	2009/08/12
47.70	-98.48	2009/08/06
47.79	-97.73	2010/08/23
47.83	-96.53	2010/10/23
47.76	-95.77	2010/08/26
47.65	-94.91	2010/10/20
47.70	-93.98	2010/09/12
47.76	-92.84	2010/09/16
69.35	-124.07	2013/09/04
47.73	-92.19	2010/09/17
47.72	-91.27	2010/09/18
47.82	-90.13	2010/09/18
47.92	-89.15	2011/09/28
47.12	-123.77	2004/09/16
47.11	-122.80	2005/10/24
47.19	-121.99	2005/11/22
47.19	-120.84	2006/09/12
47.19	-119.97	2006/08/31
47.06	-118.92	2006/08/29
47.06	-118.31	2006/08/30
47.05	-117.28	2006/09/24
47.05	-116.34	2006/11/11
47.05	-115.35	2006/11/11
47.09	-114.46	2006/10/06
47.08	-113.51	2006/10/04
47.04	-112.52	2006/10/05
47.03	-111.55	2007/09/27
47.15	-110.69	2007/10/13
67.70	-163.08	2017/08/27
47.20	-109.80	2007/10/15
47.16	-108.88	2008/08/29
68.49	-158.12	2017/08/18
47.09	-108.14	2008/08/15
68.71	-156.61	2017/08/18
47.07	-106.99	2008/08/21
47.15	-106.18	2008/09/06
68.88	-152.68	2017/08/17
47.17	-105.21	2008/09/19
68.97	-150.68	2016/06/19
47.12	-104.33	2008/09/20
69.15	-148.82	2016/06/16
47.15	-103.32	2009/07/22
69.32	-146.38	2016/06/22
47.03	-102.44	2009/07/23
47.11	-101.53	2009/07/17
69.24	-140.96	2017/08/20
47.19	-100.57	2009/08/04
69.33	-138.74	2017/08/20
47.06	-99.60	2009/08/05
47.11	-98.76	2009/08/07
47.05	-97.72	2010/08/11
47.14	-97.02	2010/08/15
47.14	-95.84	2010/08/28
47.09	-95.20	2010/08/25
47.08	-94.05	2010/08/27
47.18	-93.16	2010/08/28
47.16	-92.43	2010/08/29
47.06	-88.57	2011/09/11
46.89	-84.04	2012/10/24
47.06	-83.10	2012/10/25
47.17	-81.81	2012/10/27
47.27	-81.36	2012/10/31
47.17	-79.84	2012/10/19
47.09	-79.37	2012/10/23
46.98	-78.41	2012/10/31
47.08	-77.70	2012/09/01
47.15	-76.66	2012/09/02
47.02	-75.47	2013/08/09
47.05	-74.76	2013/07/29
47.02	-73.89	2013/08/18
47.10	-72.88	2013/08/16
47.01	-71.84	2013/07/31
46.91	-70.92	2013/08/01
47.20	-70.19	2013/08/02
47.08	-69.05	2013/10/08
47.04	-68.11	2013/09/19
46.55	-123.56	2005/10/26
46.59	-122.72	2005/10/27
46.56	-121.76	2005/10/29
46.54	-120.98	2006/08/28
46.56	-119.85	2006/08/30
46.49	-119.06	2006/09/26
46.51	-118.15	2006/09/27
46.48	-117.11	2006/09/28
46.36	-116.21	2006/11/13
46.42	-115.57	2007/08/23
46.44	-114.19	2006/10/14
46.42	-113.49	2006/10/15
46.42	-112.64	2006/10/15
46.53	-111.68	2007/09/12
46.46	-110.86	2007/09/13
67.08	-161.83	2017/07/29
46.57	-109.91	2007/09/14
67.42	-160.60	2017/07/29
46.46	-108.79	2008/08/13
67.46	-157.23	2017/07/21
46.50	-108.13	2008/08/09
68.26	-156.19	2017/08/16
46.54	-107.08	2008/08/10
68.44	-153.97	2017/08/18
46.44	-105.95	2008/10/30
68.13	-151.81	2016/06/28
46.50	-105.31	2008/10/31
68.06	-149.62	2016/09/07
46.56	-104.31	2008/11/12
68.07	-148.49	2016/06/29
46.50	-103.40	2009/06/11
68.12	-145.57	2016/07/12
46.47	-102.46	2009/06/11
46.43	-101.56	2009/07/16
68.19	-141.60	2016/07/13
46.57	-100.69	2009/08/18
68.60	-139.53	2017/08/20
46.57	-99.64	2009/08/19
68.39	-137.90	2017/08/19
46.50	-98.91	2009/08/20
46.56	-97.89	2010/08/19
46.59	-97.07	2010/08/10
46.50	-96.01	2010/08/20
46.51	-95.17	2010/08/26
46.56	-94.40	2010/08/26
46.52	-93.26	2010/10/17
46.57	-92.40	2010/10/16
46.61	-91.55	2011/08/29
46.38	-90.56	2011/09/07
46.44	-89.90	2011/09/09
46.46	-88.96	2011/09/10
46.43	-87.91	2011/09/10
46.38	-87.00	2011/09/11
46.62	-85.92	2011/09/21
46.36	-85.18	2011/09/20
46.37	-84.31	2012/11/12
46.45	-83.28	2012/11/09
46.48	-82.17	2012/11/01
46.42	-80.74	2012/11/01
46.53	-79.49	2012/10/21
46.29	-78.66	2012/11/07
46.38	-77.66	2012/09/11
46.43	-77.19	2012/09/09
46.45	-76.06	2013/07/28
46.54	-75.03	2013/07/30
46.41	-74.15	2013/08/06
46.37	-73.28	2013/07/30
46.48	-72.51	2013/07/30
46.37	-71.45	2013/08/07
46.43	-70.49	2013/08/06
46.62	-69.52	2013/10/09
46.42	-68.46	2013/09/23
46.42	-67.83	2013/09/18
40.62	-120.73	2005/05/20
66.37	-136.72	2012/10/11
45.93	-123.56	2005/11/08
45.93	-122.42	2005/10/25
45.88	-121.46	2005/11/03
45.77	-120.78	2006/08/26
45.90	-119.93	2006/08/27
45.80	-118.78	2006/07/30
45.71	-117.91	2006/08/09
45.97	-117.23	2006/08/23
45.89	-116.15	2006/11/04
45.76	-115.25	2006/11/04
45.79	-114.33	2006/10/23
45.81	-113.37	2006/10/19
65.47	-166.33	2017/07/19
45.84	-112.49	2006/10/27
65.71	-164.65	2017/07/18
45.78	-111.63	2007/10/18
45.91	-110.66	2007/10/21
66.44	-161.25	2017/07/27
45.90	-109.72	2007/09/18
66.60	-159.65	2017/07/27
45.85	-108.94	2008/08/07
66.83	-157.77	2017/07/23
45.80	-108.15	2008/07/24
67.05	-155.73	2017/07/22
45.82	-107.12	2008/08/12
67.22	-153.48	2016/06/21
45.78	-106.26	2008/11/13
67.51	-152.18	2016/07/01
45.72	-105.41	2008/11/17
45.85	-104.44	2008/11/15
67.52	-147.89	2016/07/01
45.93	-103.46	2009/07/11
67.59	-145.64	2016/07/18
45.85	-102.67	2009/07/12
67.69	-144.15	2016/07/15
45.87	-102.02	2009/07/19
45.85	-100.80	2009/08/22
67.61	-139.87	2017/08/18
45.83	-99.83	2009/08/21
45.84	-99.03	2009/09/08
67.61	-135.79	2017/08/30
45.86	-98.25	2010/09/07
67.44	-133.74	2016/08/22
45.87	-97.13	2010/10/24
45.84	-96.29	2010/08/22
45.80	-95.26	2010/09/09
45.86	-94.57	2010/09/10
45.86	-93.52	2010/09/11
45.72	-92.63	2011/08/28
45.96	-91.88	2011/08/27
45.92	-90.92	2011/09/08
45.92	-90.12	2011/09/01
45.74	-89.10	2011/09/02
45.76	-88.13	2011/09/09
45.83	-87.17	2011/09/13
45.97	-86.42	2011/09/18
45.68	-85.52	2011/09/23
45.77	-84.76	2011/10/10
45.83	-82.62	2012/11/13
45.76	-82.04	2012/11/10
45.93	-79.92	2012/11/03
45.80	-79.32	2012/11/02
45.83	-76.35	2012/11/08
45.81	-74.69	2013/08/11
45.87	-73.81	2013/07/27
45.85	-72.78	2013/08/08
45.97	-71.95	2013/08/07
45.97	-70.99	2013/08/05
45.90	-69.97	2013/09/27
45.70	-69.10	2013/09/24
45.86	-68.35	2013/09/23
45.32	-123.28	2006/07/15
45.21	-122.48	2005/11/11
45.24	-121.32	2005/11/03
45.24	-120.64	2006/08/15
45.27	-119.67	2006/08/25
45.29	-118.96	2006/08/11
45.28	-117.78	2006/08/12
45.29	-117.12	2006/08/24
45.40	-116.27	2006/11/08
45.13	-115.33	2007/07/30
45.09	-114.23	2006/11/15
45.24	-113.46	2006/11/11
45.17	-112.49	2006/11/11
64.99	-164.04	2017/07/18
45.23	-111.80	2007/09/24
65.39	-162.35	2017/07/18
45.32	-110.74	2007/10/20
65.50	-160.65	2017/07/13
45.32	-109.56	2007/10/28
65.89	-158.65	2017/06/15
66.14	-157.09	2017/06/14
45.22	-108.21	2008/08/14
45.23	-107.21	2008/07/24
66.52	-153.51	2016/06/23
45.22	-106.29	2008/11/22
66.92	-151.51	2016/06/22
45.20	-105.39	2008/11/23
66.71	-150.02	2016/06/16
45.33	-104.42	2008/11/25
66.70	-147.48	2016/07/20
45.19	-103.42	2009/07/10
66.77	-146.10	2016/07/18
45.29	-102.60	2009/07/10
66.95	-143.78	2016/07/22
45.38	-101.93	2009/06/25
66.81	-141.65	2016/07/23
45.07	-100.92	2009/06/11
45.19	-99.92	2009/09/10
66.91	-138.02	2017/08/17
45.13	-99.14	2009/09/09
66.98	-136.22	2016/08/24
45.23	-98.21	2010/09/02
66.92	-134.27	2017/08/23
45.26	-97.50	2010/09/01
45.19	-96.44	2010/10/07
45.24	-95.64	2010/09/16
45.22	-94.49	2010/09/15
45.23	-93.75	2010/09/12
45.17	-91.85	2011/08/14
45.29	-91.17	2011/08/15
45.27	-90.20	2011/08/19
45.21	-89.18	2011/08/20
45.24	-88.43	2011/09/30
45.26	-87.69	2011/09/12
45.04	-85.66	2012/11/09
45.32	-84.86	2012/11/11
45.17	-83.86	2012/11/11
45.12	-78.62	2012/11/18
45.40	-78.09	2013/07/22
45.25	-76.72	2012/11/09
45.10	-74.99	2013/07/24
45.15	-74.05	2013/07/25
45.08	-73.18	2013/09/17
45.10	-72.33	2013/08/10
45.28	-71.53	2013/09/25
45.22	-70.53	2013/09/20
45.11	-69.62	2013/09/22
45.25	-68.76	2013/09/22
45.20	-67.56	2013/09/24
44.68	-124.00	2005/11/15
44.68	-123.29	2005/11/10
44.68	-122.19	2005/11/09
44.65	-121.23	2005/12/12
44.73	-120.33	2006/08/16
44.59	-119.56	2006/08/15
44.52	-118.67	2006/07/28
44.67	-117.66	2006/07/30
44.59	-116.75	2006/10/28
44.70	-116.01	2006/10/27
44.55	-114.86	2006/11/17
44.56	-114.25	2006/12/30
44.62	-113.37	2007/08/16
44.62	-112.64	2007/08/17
44.70	-111.25	2007/08/25
64.64	-162.24	2017/07/23
44.40	-110.58	2007/10/03
64.94	-159.91	2017/07/11
44.68	-109.66	2008/08/16
65.15	-158.36	2017/06/16
44.67	-108.99	2008/08/13
65.53	-156.45	2017/06/13
44.49	-108.00	2008/07/26
65.49	-154.88	2017/06/11
44.63	-107.04	2008/07/25
65.66	-152.81	2015/05/31
44.59	-106.35	2008/10/09
65.89	-151.38	2016/06/15
44.56	-105.40	2008/10/18
65.83	-149.54	2015/05/21
44.75	-104.55	2008/10/20
65.84	-147.88	2015/05/28
44.62	-103.60	2009/06/19
